Time,Upstream1,Upstream2,Upstream3
0,104.9418637,12.5403,24.9678
900,113.4471971,13.4091,29.0664
1800,121.9525305,14.2779,33.165
2700,130.4578639,15.1467,37.2636
3600,138.9631973,16.0155,41.3622
4500,147.4685307,16.8843,45.4608
5400,155.9738641,17.7531,49.5594
6300,164.4791975,18.6219,53.658
7200,172.9845309,19.4907,57.7566
8100,181.4898643,20.3595,61.8552
9000,189.9951977,21.2283,65.9538
9900,198.5005311,22.0971,70.0524
10800,207.0058645,22.9659,74.151
11700,215.5111979,23.8347,78.2496
12600,224.0165313,24.7035,82.3482
13500,232.5218647,25.5723,86.4468
14400,241.0271981,26.4411,90.5454
15300,249.5325315,27.3099,94.644
16200,258.0378649,28.1787,98.7426
17100,266.5431983,29.0475,102.8412
18000,275.0485317,29.9163,106.9398
18900,283.5538651,30.7851,111.0384
19800,292.0591985,31.6539,115.137
20700,300.5645319,32.5227,119.2356
21600,309.0698653,33.3915,123.3342
22500,317.5751987,34.2603,127.4328
23400,326.0805321,35.1291,131.5314
24300,334.5858655,35.9979,135.63
25200,343.0911989,36.8667,139.7286
26100,351.5965323,37.7355,143.8272
27000,360.1018657,38.6043,147.9258
27900,368.6071991,39.4731,152.0244
28800,377.1125325,40.3419,156.123
29700,385.6178659,41.2107,160.2216
30600,394.1231993,42.0795,164.3202
31500,402.6285327,42.9483,168.4188
32400,411.1338661,43.8171,172.5174
33300,419.6391995,44.6859,176.616
34200,428.1445329,45.5547,180.7146
35100,436.6498663,46.4235,184.8132
36000,445.1551997,47.2923,188.9118
36900,453.6605331,48.1611,194.0104
37800,462.1658665,49.0299,199.109
38700,470.6711999,49.8987,204.2076
39600,479.1765333,50.7675,209.3062
40500,487.6818667,51.6363,214.4048
41400,496.1872001,52.5051,219.5034
42300,504.6925335,53.3739,224.602
43200,513.1978669,54.2427,229.7006
44100,521.7032003,55.1115,234.7992
45000,530.2085337,55.9803,239.8978
45900,538.7138671,56.8491,244.9964
46800,547.2192005,57.7179,250.095
47700,555.7245339,58.5867,255.1936
48600,564.2298673,59.4555,260.2922
49500,572.7352007,60.3243,265.3908
50400,581.2405341,61.1931,270.4894
51300,589.7458675,62.0619,275.588
52200,598.2512009,62.9307,280.6866
53100,606.7565343,63.7995,285.7852
54000,615.2618677,64.6683,291.8838
54900,623.7672011,65.5371,295.9824
55800,628.489801,66.4059,300.081
56700,632.3433348,68.7291,304.1796
57600,637.5004678,71.8707,308.2782
58500,641.3798266,74.7978,312.3768
59400,645.2692907,77.7678,316.4754
60300,651.7771817,80.5046,320.574
61200,659.6257252,83.556,324.6726
62100,670.1555736,85.8022,328.7712
63000,691.4443266,88.6402,332.8698
63900,714.3937371,91.2241,336.9684
64800,770.8852848,93.8355,341.067
65700,897.2243778,96.7692,345.1656
66600,1089.852785,99.4378,349.2642
67500,1281.443703,102.4342,353.3628
68400,1430.933192,105.4647,357.4614
69300,1520.481816,109.1442,361.56
70200,1587.614372,112.2462,365.6586
71100,1624.860707,115.3801,355.2428
72000,1639.075666,118.547,343.3584
72900,1646.188759,121.4235,333.3638
73800,1656.865698,124.3264,324.049
74700,1658.646497,126.2756,317.1212
75600,1669.332418,129.2214,305.6867
76500,1665.769696,130.8681,297.7678
77400,1703.226,132.1914,291.5946
78300,1713.946728,133.5191,282.1401
79200,1744.362922,134.8523,276.0791
80100,1764.077475,136.191,270.0621
81000,1783.817853,136.862,265.1726
81900,1783.817853,137.8707,257.6277
82800,1799.988772,138.5439,253.8822
83700,1778.431664,138.8816,247.5044
84600,1776.636267,138.5439,243.8095
85500,1771.253446,138.2073,239.0861
86400,1751.528788,137.5341,234.9138
87300,1726.462853,136.191,230.2498
88200,1699.654295,134.519,227.1588
89100,1674.679309,132.5225,224.081
90000,1644.410205,130.2081,219.9989
90900,1610.659223,128.2369,217.4612
91800,1592.928701,126.2756,213.9247
92700,1552.238663,123.3562,210.408
93600,1529.294866,121.4235,208.9065
94500,1478.261369,118.8649,205.9145
95400,1464.219325,116.3272,202.4429
96300,1429.183831,114.1228,200.4673
97200,1408.211715,111.9349,198.4994
98100,1373.340153,109.7624,196.537
99000,1348.992826,107.6053,193.6066
99900,1317.764831,105.7694,191.1756
100800,1307.375335,103.9456,189.2385
101700,1272.813674,101.8325,187.308
102600,1253.851413,100.3332,186.3455
103500,1229.76795,98.5446,183.9453
104400,1221.179465,97.064,182.5109
105300,1190.322001,95.2974,181.5561
106200,1166.387873,93.8355,179.1779
107100,1154.442143,92.3813,176.8096
108000,1152.736573,90.9348,176.8096
108900,1125.492359,89.7853,174.9231
109800,1111.899445,88.6402,173.0432
110700,1089.852785,87.2168,172.5746
111600,1069.548749,86.0838,170.7024
112500,1069.548749,84.9574,169.0722
113400,1056.037802,84.3953,168.5299
114300,1042.548188,83.2766,165.8294
115200,1025.714803,82.1634,164.7547
116100,1017.310461,81.609,164.7547
117000,1017.310461,80.5046,163.1509
117900,997.1726031,79.9546,161.0257
